intent,text,response
RecipeByMethod,Tencerede yemek tarifleri verir misin,"İşte tencere tarifleri:,1. Pilav: Pirinç pilavı. 2. Çorba: Mercimek çorbası. 3. Güveç: Etli güveç."
RecipeByMethod,Tavada yemek tarifleri verir misin,"İşte tava tarifleri:,1. Menemen: Yumurtalı yemek. 2. Köfte: Izgara köfte. 3. Omlet: Peynirli omlet."
RecipeByMethod,Buharda yemek tarifleri verir misin,"İşte buhar tarifleri:,1. Sebze: Buharda sebze. 2. Balık: Buharda balık. 3. Mantı: Buharda mantı."
RecipeByMethod,Izgara yemek tarifleri verir misin,"İşte ızgara tarifleri:,1. Et: Izgara et. 2. Tavuk: Izgara tavuk. 3. Balık: Izgara balık."
RecipeByMethod,Haşlama yemek tarifleri verir misin,"İşte haşlama tarifleri:,1. Patates: Haşlama patates. 2. Tavuk: Haşlama tavuk. 3. Sebze: Haşlama sebze."
RecipeByMethod,Kızartma yemek tarifleri verir misin,"İşte kızartma tarifleri:,1. Patates: Patates kızartması. 2. Balık: Kızartma balık. 3. Patlıcan: Patlıcan kızartması."
RecipeByMethod,Mangal yemek tarifleri verir misin,"İşte mangal tarifleri:,1. Köfte: Izgara köfte. 2. Pirzola: Kuzu pirzola. 3. Tavuk: Tavuk şiş."
RecipeByMethod,Düdüklü tencere tarifleri verir misin,"İşte düdüklü tarifleri:,1. Kuru fasulye: Etli fasulye. 2. Nohut: Etli nohut. 3. Et: Haşlama et."
RecipeByMethod,Blender tarifleri verir misin,"İşte blender tarifleri:,1. Smoothie: Meyveli içecek. 2. Çorba: Sebze çorbası. 3. Sos: Salata sosu."
RecipeByMethod,Mikrodalgada yemek tarifleri verir misin,"İşte mikrodalga tarifleri:,1. Patates: Mikrodalga patates. 2. Sebze: Mikrodalga sebze. 3. Kek: Mikrodalga kek."
RecipeByMethod,Yoğurmalı yemek tarifleri verir misin,"İşte yoğurma tarifleri:,1. Ekmek: Ev ekmeği. 2. Börek: El açması börek. 3. Kurabiye: Tatlı kurabiye."
RecipeByMethod,Sarma yemek tarifleri verir misin,"İşte sarma tarifleri:,1. Yaprak sarma: Zeytinyağlı sarma. 2. Lahana sarma: Etli sarma. 3. Biber dolma: Pirinçli dolma."
RecipeByMethod,Marine yemek tarifleri verir misin,"İşte marine tarifleri:,1. Tavuk: Marine tavuk. 2. Et: Marine biftek. 3. Balık: Marine somon."
RecipeByMethod,Közleme yemek tarifleri verir misin,"İşte közleme tarifleri:,1. Patlıcan: Közlenmiş patlıcan. 2. Biber: Közlenmiş biber. 3. Domates: Közlenmiş domates."
RecipeByIngredient,Dolabımda tavuk ve mantar var ne yapabilirim,"Tavuk ve mantar ile yapabileceğiniz lezzetli tarifler:,1. Mantarlı Tavuk Sote: Tavuğu kuşbaşı doğrayıp mantarlarla soteleyin. 2. Kremalı Mantarlı Tavuk: Tavuk ve mantarı krema sosuyla pişirin. 3. Fırında Mantarlı Tavuk: Tavuk ve mantarı fırın tepsisine dizip baharatlarla pişirin."
RecipeByIngredient,Dolabımda pirinç ve sebze var ne yapabilirim,"Pirinç ve sebze ile yapabileceğiniz lezzetli tarifler:,1. Sebzeli Pilav: Pirinci sebzelerle pişirin. 2. Risotto: Pirinci yavaşça pişirip sebzelerle karıştırın. 3. Sebzeli Paella: İspanyol usulü sebzeli pirinç yemeği yapın."
RecipeByCategory,Vejeteryan yemek tarifleri verir misin,"İşte lezzetli vejeteryan tarifler:,1. Mercimek Köftesi: Kırmızı mercimek ve bulgurla yapılan köfte. 2. Sebzeli Noodle: Sebzelerle wok tavada pişirilen noodle. 3. Falafel: Nohuttan yapılan Orta Doğu köftesi."
RecipeByCategory,Deniz ürünleri tarifleri verir misin,"İşte lezzetli deniz ürünleri tarifleri:,1. Karides Güveç: Karidesleri sebzelerle fırında pişirin. 2. Somon Izgara: Somonu marine edip ızgarada pişirin. 3. Ahtapot Salatası: Haşlanmış ahtapotu zeytinyağlı salata yapın."
RecipeByCategory,Çorba tarifleri verir misin,"İşte lezzetli çorba tarifleri:,1. Mercimek Çorbası: Kırmızı mercimek ve sebzelerle yapılan çorba. 2. Tavuk Çorbası: Tavuk suyu ve sebzelerle yapılan çorba. 3. Domates Çorbası: Domates ve sebzelerle yapılan çorba."
RecipeByCategory,Salata tarifleri verir misin,"İşte lezzetli salata tarifleri:,1. Sezar Salatası: Marul, tavuk, kruton ve Sezar sosu. 2. Yunan Salatası: Domates, salatalık, zeytin ve beyaz peynir. 3. Kinoa Salatası: Kinoa, sebzeler ve zeytinyağı sosu."
RecipeByCategory,Makarna tarifleri verir misin,"İşte lezzetli makarna tarifleri:,1. Bolonez Soslu Makarna: Kıymalı domates soslu makarna. 2. Pesto Soslu Makarna: Fesleğen soslu makarna. 3. Arabiata: Acılı domates soslu makarna."
RecipeByCategory,Tatlı tarifleri verir misin,"İşte lezzetli tatlı tarifleri:,1. Tiramisu: İtalyan usulü kahveli tatlı. 2. Cheesecake: Peynirli pasta. 3. Profiterol: Çikolata soslu top hamur tatlısı."
RecipeByCategory,Kahvaltılık tarifleri verir misin,"İşte lezzetli kahvaltılık tarifleri:,1. Menemen: Domates ve yumurtalı kahvaltılık. 2. Pankek: Ballı ve meyveli pankek. 3. Omlet: Peynirli ve sebzeli omlet."
RecipeByCategory,Atıştırmalık tarifleri verir misin,"İşte lezzetli atıştırmalık tarifleri:,1. Patates Kızartması: Çıtır patates. 2. Sigara Böreği: Peynirli rulo börek. 3. Popcorn: Baharatlı mısır."
RecipeByDifficulty,Başlangıç seviyesi tarifler verir misin,"İşte kolay tarifler:,1. Makarna: Basit soslu makarna. 2. Tost: Peynirli ve sebzeli tost. 3. Yumurta: Sahanda yumurta."
RecipeByDifficulty,Orta seviye tarifler verir misin,"İşte orta zorlukta tarifler:,1. Lazanya: Kıymalı ve beşamel soslu fırın makarna. 2. Pilav: Tavuklu ve sebzeli pilav. 3. Köfte: Baharatlı köfte."
RecipeByDifficulty,İleri seviye tarifler verir misin,"İşte zor tarifler:,1. Sushi: Japon pirinç rulosu. 2. Soufflé: Kabaran fırın tatlısı. 3. Croissant: Katmanlı hamur işi."
RecipeByTime,10 dakikada yapılacak tarifler verir misin,"İşte hızlı tarifler:,1. Omlet: Yumurta ve peynirli omlet. 2. Tost: Kaşarlı tost. 3. Salata: Mevsim salatası."
RecipeByTime,30 dakikada yapılacak tarifler verir misin,"İşte orta süreli tarifler:,1. Makarna: Soslu makarna. 2. Tavuk Sote: Sebzeli tavuk sote. 3. Köfte: Izgara köfte."
RecipeByTime,1 saatte yapılacak tarifler verir misin,"İşte uzun süreli tarifler:,1. Karnıyarık: Patlıcan yemeği. 2. Lazanya: Fırın makarna. 3. Pilav: Tavuklu pilav."
RecipeByIngredient,Dolabımda yumurta ve peynir var ne yapabilirim,"Yumurta ve peynir ile yapabileceğiniz lezzetli tarifler:,1. Peynirli Omlet: Yumurtayı peynirle pişirin. 2. Kaşarlı Tost: Ekmek arası peynir. 3. Yumurtalı Ekmek: Yumurtalı kahvaltılık."
RecipeByIngredient,Dolabımda makarna ve domates var ne yapabilirim,"Makarna ve domates ile yapabileceğiniz lezzetli tarifler:,1. Domatesli Makarna: Domates soslu makarna. 2. Fırın Makarna: Fırında domatesli makarna. 3. Makarna Salatası: Soğuk makarna."
RecipeByIngredient,Dolabımda et ve patates var ne yapabilirim,"Et ve patates ile yapabileceğiniz lezzetli tarifler:,1. Fırın Kebap: Et ve patatesli fırın yemeği. 2. Patatesli Köfte: Kıymalı patates köftesi. 3. Etli Patates: Tencerede etli patates."
RecipeByCategory,Fırın yemekleri tarifleri verir misin,"İşte lezzetli fırın yemekleri:,1. Fırın Tavuk: Sebzeli fırın tavuk. 2. Karnıyarık: Patlıcan yemeği. 3. Patates Graten: Kremalı patates."
RecipeByCategory,Zeytinyağlı yemek tarifleri verir misin,"İşte lezzetli zeytinyağlı yemekler:,1. Zeytinyağlı Fasulye: Taze fasulye yemeği. 2. Zeytinyağlı Pırasa: Pırasa yemeği. 3. İmam Bayıldı: Patlıcan yemeği."
RecipeByCategory,Pilav tarifleri verir misin,"İşte lezzetli pilav tarifleri:,1. Sade Pilav: Tereyağlı pilav. 2. Sebzeli Pilav: Havuçlu ve bezelyeli pilav. 3. Tavuklu Pilav: Tavuk etli pilav."
RecipeByCategory,Köfte tarifleri verir misin,"İşte lezzetli köfte tarifleri:,1. İzmir Köfte: Patatesli fırın köfte. 2. Kadınbudu Köfte: Yumurtalı köfte. 3. Mercimek Köftesi: Vejetaryen köfte."
RecipeByCategory,Tavuk yemekleri tarifleri verir misin,"İşte lezzetli tavuk yemekleri:,1. Tavuk Şiş: Izgara tavuk. 2. Fırın Tavuk: Sebzeli fırın tavuk. 3. Tavuk Sote: Sebzeli tavuk sote."
RecipeByCategory,Et yemekleri tarifleri verir misin,"İşte lezzetli et yemekleri:,1. Kuzu Tandır: Fırında kuzu eti. 2. Dana Rosto: Fırın rosto. 3. Köfte: Izgara köfte."
RecipeByCategory,Balık yemekleri tarifleri verir misin,"İşte lezzetli balık yemekleri:,1. Levrek Izgara: Izgara balık. 2. Hamsi Tava: Kızartma balık. 3. Somon Füme: Marine balık."
RecipeByCategory,Sebze yemekleri tarifleri verir misin,"İşte lezzetli sebze yemekleri:,1. Sebze Türlü: Karışık sebze yemeği. 2. Patlıcan Musakka: Kıymalı patlıcan. 3. Kabak Dolması: Zeytinyağlı dolma."
RecipeByCategory,Diyet yemek tarifleri verir misin,"İşte sağlıklı diyet tarifleri:,1. Izgara Tavuk: Yağsız tavuk eti. 2. Mercimek Çorbası: Sebzeli çorba. 3. Kinoa Salatası: Protein deposu salata."
RecipeByCategory,Glutensiz yemek tarifleri verir misin,"İşte glutensiz tarifler:,1. Kinoa Pilavı: Glutensiz tahıl. 2. Mercimek Köftesi: Bakliyat köftesi. 3. Patates Püresi: Sebze püresi."
RecipeByCategory,Vegan yemek tarifleri verir misin,"İşte vegan tarifler:,1. Nohut Yemeği: Bakliyat yemeği. 2. Sebze Çorbası: Sebze suyu çorbası. 3. Falafel: Nohut köftesi."
RecipeByCategory,Aperatif tarifleri verir misin,"İşte aperatif tarifler:,1. Patates Kroket: Çıtır patates. 2. Sigara Böreği: Mini börek. 3. Humus: Nohut ezmesi."
RecipeByCategory,Çikolatalı tatlı tarifleri verir misin,"İşte çikolatalı tatlılar:,1. Brownie: Çikolatalı kek. 2. Profiterol: Çikolata soslu tatlı. 3. Çikolatalı Mousse: Sütlü tatlı."
RecipeByCategory,Sütlü tatlı tarifleri verir misin,"İşte sütlü tatlılar:,1. Sütlaç: Pirinçli muhallebi. 2. Kazandibi: Karamelli muhallebi. 3. Tavuk Göğsü: Sütlü tatlı."
RecipeByCategory,Şerbetli tatlı tarifleri verir misin,"İşte şerbetli tatlılar:,1. Baklava: Cevizli tatlı. 2. Künefe: Peynirli tatlı. 3. Revani: İrmikli tatlı."
RecipeByCategory,Meyveli tatlı tarifleri verir misin,"İşte meyveli tatlılar:,1. Elmalı Turta: Elmalı pasta. 2. Meyveli Pasta: Karışık meyveli pasta. 3. Çilekli Tiramisu: Meyveli İtalyan tatlısı."
RecipeByCategory,Hamur işi tarifleri verir misin,"İşte hamur işi tarifleri:,1. Poğaça: Peynirli hamur. 2. Açma: Yumuşak hamur. 3. Simit: Susamlı hamur."
RecipeByCategory,Börek tarifleri verir misin,"İşte börek tarifleri:,1. Su Böreği: Yufkalı börek. 2. Kol Böreği: Rulo börek. 3. Sigara Böreği: Çıtır börek."
RecipeByCategory,Çorba tarifleri verir misin,"İşte çorba tarifleri:,1. Mercimek Çorbası: Kırmızı mercimek çorbası. 2. Tarhana Çorbası: Geleneksel çorba. 3. Yayla Çorbası: Yoğurtlu çorba."
RecipeByCategory,Dolma tarifleri verir misin,"İşte dolma tarifleri:,1. Biber Dolması: Pirinçli dolma. 2. Yaprak Sarma: Zeytinyağlı sarma. 3. Kabak Dolması: Kıymalı dolma."
RecipeByCategory,Meze tarifleri verir misin,"İşte meze tarifleri:,1. Humus: Nohut ezmesi. 2. Babagannuş: Patlıcan ezmesi. 3. Cacık: Yoğurtlu meze."
RecipeByCategory,Salata tarifleri verir misin,"İşte salata tarifleri:,1. Çoban Salatası: Doğrama salata. 2. Sezar Salatası: Tavuklu salata. 3. Rus Salatası: Garnitürlü salata."
RecipeByCategory,Kahvaltılık tarifleri verir misin,"İşte kahvaltılık tarifler:,1. Menemen: Yumurtalı kahvaltılık. 2. Sucuklu Yumurta: Etli kahvaltılık. 3. Börek: Peynirli kahvaltılık."
RecipeByIngredient,Dolabımda süt ve yumurta var ne yapabilirim,"Süt ve yumurta ile yapabileceğiniz lezzetli tarifler:,1. Krep: İnce hamur tatlısı. 2. Puding: Sütlü tatlı. 3. Pankek: Kahvaltılık hamur."
RecipeByIngredient,Dolabımda un ve şeker var ne yapabilirim,"Un ve şeker ile yapabileceğiniz lezzetli tarifler:,1. Kurabiye: Tatlı kurabiye. 2. Kek: Sade kek. 3. Helva: Un helvası."
RecipeByIngredient,Dolabımda pirinç ve tavuk var ne yapabilirim,"Pirinç ve tavuk ile yapabileceğiniz lezzetli tarifler:,1. Tavuklu Pilav: Etli pilav. 2. Tavuk Çorbası: Pirinçli çorba. 3. Tavuklu Dolma: Pirinçli dolma."
RecipeByIngredient,Dolabımda kıyma ve patates var ne yapabilirim,"Kıyma ve patates ile yapabileceğiniz lezzetli tarifler:,1. Patates Oturtma: Kıymalı patates. 2. Köfte Patates: Fırın yemeği. 3. Patates Musakka: Kıymalı yemek."
RecipeByIngredient,Dolabımda domates ve salatalık var ne yapabilirim,"Domates ve salatalık ile yapabileceğiniz lezzetli tarifler:,1. Çoban Salatası: Doğrama salata. 2. Cacık: Yoğurtlu meze. 3. Mevsim Salatası: Karışık salata."
RecipeByIngredient,Dolabımda peynir ve zeytin var ne yapabilirim,"Peynir ve zeytin ile yapabileceğiniz lezzetli tarifler:,1. Kahvaltı Tabağı: Türk kahvaltısı. 2. Peynirli Börek: Hamur işi. 3. Zeytinli Poğaça: Kahvaltılık."
RecipeByIngredient,Dolabımda makarna ve kaşar var ne yapabilirim,"Makarna ve kaşar ile yapabileceğiniz lezzetli tarifler:,1. Fırın Makarna: Peynirli makarna. 2. Mac and Cheese: Amerikan usulü makarna. 3. Makarna Graten: Beşamel soslu makarna."
RecipeByIngredient,Dolabımda bulgur ve mercimek var ne yapabilirim,"Bulgur ve mercimek ile yapabileceğiniz lezzetli tarifler:,1. Mercimek Çorbası: Bulgurlu çorba. 2. Mercimek Köftesi: Bulgurlu köfte. 3. Kısır: Bulgur salatası."
RecipeByIngredient,Dolabımda nohut ve pirinç var ne yapabilirim,"Nohut ve pirinç ile yapabileceğiniz lezzetli tarifler:,1. Nohutlu Pilav: Bakliyatlı pilav. 2. Etli Nohut: Pirinçli nohut. 3. Maklube: Nohutlu pilav."
RecipeByIngredient,Dolabımda havuç ve kabak var ne yapabilirim,"Havuç ve kabak ile yapabileceğiniz lezzetli tarifler:,1. Sebze Çorbası: Karışık çorba. 2. Sebze Sote: Sağlıklı yemek. 3. Sebzeli Makarna: Sebzeli yemek."
RecipeByIngredient,Dolabımda patlıcan ve biber var ne yapabilirim,"Patlıcan ve biber ile yapabileceğiniz lezzetli tarifler:,1. Karnıyarık: Patlıcan yemeği. 2. Közlenmiş Sebze: Izgara sebze. 3. Türlü: Sebze yemeği."
RecipeByIngredient,Dolabımda balık ve limon var ne yapabilirim,"Balık ve limon ile yapabileceğiniz lezzetli tarifler:,1. Izgara Balık: Limonlu balık. 2. Balık Buğulama: Buharda balık. 3. Balık Çorbası: Limonlu çorba."
RecipeByIngredient,Dolabımda tavuk ve mantar var ne yapabilirim,"Tavuk ve mantar ile yapabileceğiniz lezzetli tarifler:,1. Mantarlı Tavuk: Kremalı yemek. 2. Tavuk Sote: Mantarlı sote. 3. Tavuk Çorbası: Mantarlı çorba."
RecipeByIngredient,Dolabımda et ve soğan var ne yapabilirim,"Et ve soğan ile yapabileceğiniz lezzetli tarifler:,1. Et Sote: Soğanlı et. 2. Kavurma: Geleneksel yemek. 3. Et Yemeği: Soğanlı yemek."
RecipeByIngredient,Dolabımda yoğurt ve salatalık var ne yapabilirim,"Yoğurt ve salatalık ile yapabileceğiniz lezzetli tarifler:,1. Cacık: Yoğurtlu meze. 2. Yoğurtlu Salata: Hafif yemek. 3. Tzatziki: Yunan mezesi."
RecipeByTime,5 dakikada yapılacak tarifler verir misin,"İşte çok hızlı tarifler:,1. Tost: Peynirli tost. 2. Yumurta: Sahanda yumurta. 3. Salata: Yeşil salata."
RecipeByTime,15 dakikada yapılacak tarifler verir misin,"İşte pratik tarifler:,1. Menemen: Yumurtalı kahvaltılık. 2. Makarna: Sade makarna. 3. Omlet: Peynirli omlet."
RecipeByTime,20 dakikada yapılacak tarifler verir misin,"İşte kısa süreli tarifler:,1. Tavuk Sote: Sebzeli tavuk. 2. Noodle: Sebzeli noodle. 3. Köfte: Izgara köfte."
RecipeByTime,25 dakikada yapılacak tarifler verir misin,"İşte orta süreli tarifler:,1. Karnıyarık: Patlıcan yemeği. 2. Pilav: Pirinç pilavı. 3. Çorba: Sebze çorbası."
RecipeByTime,40 dakikada yapılacak tarifler verir misin,"İşte uzun süreli tarifler:,1. Fırın Tavuk: Sebzeli tavuk. 2. Kek: Sade kek. 3. Börek: Peynirli börek."
RecipeByTime,45 dakikada yapılacak tarifler verir misin,"İşte fırın yemekleri:,1. Lazanya: Fırın makarna. 2. Patates Graten: Kremalı patates. 3. Pide: Kaşarlı pide."
RecipeByTime,50 dakikada yapılacak tarifler verir misin,"İşte özenli tarifler:,1. İskender: Dönerli yemek. 2. Mantı: Yoğurtlu mantı. 3. Kuzu Tandır: Fırın yemeği."
RecipeByTime,1.5 saatte yapılacak tarifler verir misin,"İşte özel tarifler:,1. Kuru Fasulye: Geleneksel yemek. 2. Güveç: Etli güveç. 3. Dolma: Zeytinyağlı dolma."
RecipeByTime,2 saatte yapılacak tarifler verir misin,"İşte zahmetli tarifler:,1. Keşkek: Düğün yemeği. 2. İşkembe: Geleneksel çorba. 3. Patlıcan Kebabı: Fırın kebabı."
RecipeByTime,3 saatte yapılacak tarifler verir misin,"İşte özel gün tarifleri:,1. Kuzu Çevirme: Mangal yemeği. 2. Aşure: Geleneksel tatlı. 3. Zerde: Pirinç tatlısı."
RecipeByDifficulty,En kolay yemek tarifleri verir misin,"İşte basit tarifler:,1. Yumurta: Sahanda yumurta. 2. Tost: Kaşarlı tost. 3. Salata: Yeşil salata."
RecipeByDifficulty,Kolay yemek tarifleri verir misin,"İşte pratik tarifler:,1. Makarna: Soslu makarna. 2. Pilav: Sade pilav. 3. Çorba: Mercimek çorbası."
RecipeByDifficulty,Orta zorluktaki yemek tarifleri verir misin,"İşte standart tarifler:,1. Karnıyarık: Patlıcan yemeği. 2. Köfte: Izgara köfte. 3. Börek: Peynirli börek."
RecipeByDifficulty,Zor yemek tarifleri verir misin,"İşte ustalık isteyen tarifler:,1. Mantı: Yoğurtlu mantı. 2. Baklava: Şerbetli tatlı. 3. Künefe: Peynirli tatlı."
RecipeByDifficulty,En zor yemek tarifleri verir misin,"İşte şef tarifleri:,1. Soufflé: Kabaran tatlı. 2. Croissant: Katmer hamur. 3. Macarons: Fransız kurabiyesi."
RecipeByDiet,Düşük kalorili yemek tarifleri verir misin,"İşte diyet tarifler:,1. Izgara Tavuk: Yağsız protein. 2. Sebze Çorbası: Düşük kalorili çorba. 3. Yeşil Salata: Hafif salata."
RecipeByDiet,Protein ağırlıklı yemek tarifleri verir misin,"İşte proteinli tarifler:,1. Ton Balıklı Salata: Protein deposu. 2. Mercimek Çorbası: Bitkisel protein. 3. Hindi Izgara: Yağsız et."
RecipeByDiet,Karbonhidrat ağırlıklı yemek tarifleri verir misin,"İşte karbonhidratlı tarifler:,1. Makarna: Enerji deposu. 2. Pilav: Pirinç pilavı. 3. Patates: Fırın patates."
RecipeByDiet,Yağ ağırlıklı yemek tarifleri verir misin,"İşte yağlı tarifler:,1. Zeytinyağlı Dolma: Sağlıklı yağ. 2. Avokado Salatası: Omega yağları. 3. Fındıklı Salata: Kuruyemiş."
RecipeByDiet,Glutensiz yemek tarifleri verir misin,"İşte glutensiz tarifler:,1. Kinoa Pilavı: Tahıl alternatifi. 2. Nohut Yemeği: Bakliyat. 3. Patates Püresi: Sebze."
RecipeByDiet,Şekersiz tatlı tarifleri verir misin,"İşte şekersiz tatlılar:,1. Hurmalı Toplar: Doğal tatlandırıcı. 2. Muzlu Dondurma: Meyveli tatlı. 3. Yoğurt Tatlısı: Sade tatlı."
RecipeByDiet,Laktozsuz yemek tarifleri verir misin,"İşte laktozsuz tarifler:,1. Sebze Çorbası: Sütsüz çorba. 2. Zeytinyağlı Dolma: Sütsüz yemek. 3. Meyve Salatası: Taze meyve."
RecipeByDiet,Vejeteryan yemek tarifleri verir misin,"İşte vejeteryan tarifler:,1. Mercimek Köftesi: Etsiz köfte. 2. Sebzeli Makarna: Sebzeli yemek. 3. Falafel: Nohut köftesi."
RecipeByDiet,Vegan yemek tarifleri verir misin,"İşte vegan tarifler:,1. Humus: Nohut ezmesi. 2. Sebze Türlü: Zeytinyağlı yemek. 3. Yeşil Salata: Taze sebze."
RecipeByDiet,Ketojenik diyet tarifleri verir misin,"İşte keto tarifler:,1. Avokado Salatası: Yağlı salata. 2. Et Sote: Proteini yüksek. 3. Mantarlı Omlet: Düşük karbonhidrat."
RecipeByDiet,Paleo diyet tarifleri verir misin,"İşte paleo tarifler:,1. Izgara Et: Doğal protein. 2. Yumurta: Temel besin. 3. Meyve: Doğal şeker."
RecipeByDiet,Düşük karbonhidratlı yemek tarifleri verir misin,"İşte düşük karbonhidratlı tarifler:,1. Et Sote: Proteini yüksek. 2. Ton Balığı Salatası: Hafif yemek. 3. Izgara Sebze: Düşük kalori."
RecipeByDiet,Yüksek proteinli yemek tarifleri verir misin,"İşte proteinli tarifler:,1. Tavuk Göğsü: Yağsız protein. 2. Mercimek Çorbası: Bitkisel protein. 3. Yumurta: Protein kaynağı."
RecipeByDiet,Düşük yağlı yemek tarifleri verir misin,"İşte az yağlı tarifler:,1. Haşlama Tavuk: Yağsız et. 2. Sebze Çorbası: Hafif çorba. 3. Izgara Balık: Sağlıklı protein."
RecipeByDiet,Yüksek lifli yemek tarifleri verir misin,"İşte lifli tarifler:,1. Mercimek Yemeği: Bakliyat. 2. Kepekli Makarna: Tam tahıl. 3. Kinoa Salatası: Tahıl."
RecipeByOccasion,Misafir yemeği tarifleri verir misin,"İşte misafir tarifleri:,1. İskender: Özel yemek. 2. Mantı: Geleneksel yemek. 3. Karnıyarık: Ana yemek."
RecipeByOccasion,Doğum günü yemeği tarifleri verir misin,"İşte özel gün tarifleri:,1. Pasta: Doğum günü pastası. 2. Pizza: Ev yapımı pizza. 3. Makarna: Soslu makarna."
RecipeByOccasion,Kahvaltı tarifleri verir misin,"İşte kahvaltı tarifleri:,1. Menemen: Yumurtalı kahvaltılık. 2. Omlet: Peynirli omlet. 3. Pankek: Ballı pankek."
RecipeByOccasion,Öğle yemeği tarifleri verir misin,"İşte öğle yemeği tarifleri:,1. Tost: Kaşarlı tost. 2. Makarna: Soslu makarna. 3. Salata: Ton balıklı salata."
RecipeByOccasion,Akşam yemeği tarifleri verir misin,"İşte akşam yemeği tarifleri:,1. Karnıyarık: Ana yemek. 2. Pilav: Tavuklu pilav. 3. Çorba: Mercimek çorbası."
RecipeByOccasion,Piknik yemeği tarifleri verir misin,"İşte piknik tarifleri:,1. Sandviç: Karışık sandviç. 2. Börek: Peynirli börek. 3. Meyve: Taze meyve."
RecipeByOccasion,Parti yemeği tarifleri verir misin,"İşte parti tarifleri:,1. Pizza: Mini pizza. 2. Börek: Sigara böreği. 3. Kurabiye: Tatlı kurabiye."
RecipeByOccasion,Romantik akşam yemeği tarifleri verir misin,"İşte romantik tarifler:,1. Biftek: Izgara et. 2. Risotto: İtalyan pilavı. 3. Tiramisu: İtalyan tatlısı."
RecipeByOccasion,Çocuk yemeği tarifleri verir misin,"İşte çocuk tarifleri:,1. Makarna: Peynirli makarna. 2. Nugget: Tavuk nugget. 3. Patates: Patates kızartması."
RecipeByOccasion,Diyet yemeği tarifleri verir misin,"İşte diyet tarifleri:,1. Salata: Tavuklu salata. 2. Çorba: Sebze çorbası. 3. Yoğurt: Meyveli yoğurt."
RecipeByOccasion,Öğrenci yemeği tarifleri verir misin,"İşte öğrenci tarifleri:,1. Makarna: Soslu makarna. 2. Tost: Kaşarlı tost. 3. Menemen: Yumurtalı yemek."
RecipeByOccasion,Ofis yemeği tarifleri verir misin,"İşte ofis tarifleri:,1. Sandviç: Ton balıklı sandviç. 2. Salata: Tavuklu salata. 3. Wrap: Sebzeli wrap."
RecipeByOccasion,Spor sonrası yemek tarifleri verir misin,"İşte sporcu tarifleri:,1. Protein Shake: Proteinli içecek. 2. Muz: Potasyum kaynağı. 3. Yoğurt: Protein kaynağı."
RecipeByOccasion,Hasta yemeği tarifleri verir misin,"İşte hasta tarifleri:,1. Çorba: Tavuk çorbası. 2. Pilav: Sade pilav. 3. Komposto: Meyve kompostosu."
RecipeByOccasion,Bebek yemeği tarifleri verir misin,"İşte bebek tarifleri:,1. Püre: Sebze püresi. 2. Çorba: Sebze çorbası. 3. Yoğurt: Sade yoğurt."
RecipeBySeason,Yaz yemeği tarifleri verir misin,"İşte yaz tarifleri:,1. Patlıcan: Karnıyarık. 2. Kabak: Mücver. 3. Cacık: Yoğurtlu meze."
RecipeBySeason,Kış yemeği tarifleri verir misin,"İşte kış tarifleri:,1. Çorba: Mercimek çorbası. 2. Keşkek: Etli buğday. 3. Komposto: Kuşburnu kompostosu."
RecipeBySeason,İlkbahar yemeği tarifleri verir misin,"İşte ilkbahar tarifleri:,1. Enginar: Zeytinyağlı enginar. 2. Bakla: Zeytinyağlı bakla. 3. Kuzu: Kuzu tandır."
RecipeBySeason,Sonbahar yemeği tarifleri verir misin,"İşte sonbahar tarifleri:,1. Mantı: Yoğurtlu mantı. 2. Kestane: Kestane çorbası. 3. Balkabağı: Kabak tatlısı."
RecipeBySeason,Ramazan yemeği tarifleri verir misin,"İşte Ramazan tarifleri:,1. Pide: Ramazan pidesi. 2. Güllaç: Sütlü tatlı. 3. Çorba: İftar çorbası."
RecipeBySeason,Bayram yemeği tarifleri verir misin,"İşte bayram tarifleri:,1. Kavurma: Et kavurma. 2. Sarma: Yaprak sarma. 3. Baklava: Şerbetli tatlı."
RecipeBySeason,Düğün yemeği tarifleri verir misin,"İşte düğün tarifleri:,1. Keşkek: Düğün yemeği. 2. Pilav: Etli pilav. 3. Zerde: Safran tatlısı."
RecipeBySeason,Yılbaşı yemeği tarifleri verir misin,"İşte yılbaşı tarifleri:,1. Hindi: Fırın hindi. 2. Kısır: Bulgur salatası. 3. Pasta: Yılbaşı pastası."
RecipeBySeason,Doğum günü yemeği tarifleri verir misin,"İşte doğum günü tarifleri:,1. Pasta: Doğum günü pastası. 2. Pizza: Ev yapımı pizza. 3. Kurabiye: Tatlı kurabiye."
RecipeBySeason,Piknik yemeği tarifleri verir misin,"İşte piknik tarifleri:,1. Sandviç: Karışık sandviç. 2. Börek: Peynirli börek. 3. Kısır: Bulgur salatası."
RecipeBySeason,Kahvaltı tarifleri verir misin,"İşte kahvaltı tarifleri:,1. Menemen: Yumurtalı kahvaltılık. 2. Omlet: Peynirli omlet. 3. Pankek: Ballı pankek."
RecipeBySeason,Öğle yemeği tarifleri verir misin,"İşte öğle yemeği tarifleri:,1. Tost: Kaşarlı tost. 2. Makarna: Soslu makarna. 3. Salata: Ton balıklı salata."
